geometry,bio1,bio3,bio7,bio12
"(148.467196, -36.000859)",6.928167,41.78015,23.69975,1647.0
"(148.392241, -35.951583)",8.269542,41.030262,23.858,1440.0
"(148.40889, -36.006805)",6.928167,41.78015,23.69975,1647.0
"(147.1602, -36.9601)",9.408354,40.790546,23.0895,1292.0
"(147.1602, -36.9601)",9.408354,40.790546,23.0895,1292.0
"(147.1467, -36.9854)",9.408354,40.790546,23.0895,1292.0
"(147.1602, -36.9601)",9.408354,40.790546,23.0895,1292.0
"(147.1647, -36.9583)",9.408354,40.790546,23.0895,1292.0
"(147.1602, -36.9601)",9.408354,40.790546,23.0895,1292.0
"(147.1602, -36.9601)",9.408354,40.790546,23.0895,1292.0
"(147.2429, -36.9068)",6.8537397,39.09556,22.146751,1519.0
"(147.1602, -36.9601)",9.408354,40.790546,23.0895,1292.0
"(147.3096, -36.8901)",6.8537397,39.09556,22.146751,1519.0
"(147.1602, -36.9601)",9.408354,40.790546,23.0895,1292.0
"(147.1602, -36.9601)",9.408354,40.790546,23.0895,1292.0
"(148.459399, -36.00639)",6.928167,41.78015,23.69975,1647.0
